"","flight_date_2020","sum"
"1",2019-12-01,128503.494309236
"2",2019-12-02,126819.323147712
"3",2019-12-03,124649.131096789
"4",2019-12-04,123327.025917603
"5",2019-12-05,121443.309525396
"6",2019-12-06,121389.400384079
"7",2019-12-07,129618.998198434
"8",2019-12-08,124835.118568977
"9",2019-12-09,126586.663994242
"10",2019-12-10,124166.338827453
"11",2019-12-11,123280.491754518
"12",2019-12-12,124899.952779966
"13",2019-12-13,124665.826243765
"14",2019-12-14,129244.314327079
"15",2019-12-15,126457.125580876
"16",2019-12-16,128052.713048784
"17",2019-12-17,125235.28163975
"18",2019-12-18,127133.302430538
"19",2019-12-19,125245.003387994
"20",2019-12-20,126042.852748589
"21",2019-12-21,133366.661739566
"22",2019-12-22,127441.05595412
"23",2019-12-23,128997.893104717
"24",2019-12-24,125692.506561088
"25",2019-12-25,125503.056975079
"26",2019-12-26,127649.441768129
"27",2019-12-27,126834.020405739
"28",2019-12-28,131064.093972686
"29",2019-12-29,129813.445430241
"30",2019-12-30,127075.984848462
"31",2019-12-31,126190.171328393
"32",2020-01-01,136123.434895143
"33",2020-01-02,138340.623866004
"34",2020-01-03,135471.647916173
"35",2020-01-04,139373.81661445
"36",2020-01-05,139372.639871595
"37",2020-01-06,139919.659562074
"38",2020-01-07,138865.864808211
"39",2020-01-08,137271.420785714
"40",2020-01-09,135388.787491514
"41",2020-01-10,135575.043432322
"42",2020-01-11,142221.688410438
"43",2020-01-12,140343.092409315
"44",2020-01-13,142171.16966853
"45",2020-01-14,138363.957174298
"46",2020-01-15,137497.12187271
"47",2020-01-16,138900.237498079
"48",2020-01-17,136776.76598111
"49",2020-01-18,146894.656229586
"50",2020-01-19,138176.743282608
"51",2020-01-20,140622.147164741
"52",2020-01-21,140396.064964985
"53",2020-01-22,141055.555673106
"54",2020-01-23,141305.269596536
"55",2020-01-24,143228.165176517
"56",2020-01-25,148885.673322924
"57",2020-01-26,145708.528547544
"58",2020-01-27,148392.756911515
"59",2020-01-28,144070.986326023
"60",2020-01-29,144358.632502184
"61",2020-01-30,144438.016007113
"62",2020-01-31,147946.832036936
"63",2020-02-01,149807.772157187
"64",2020-02-02,148447.884281064
"65",2020-02-03,143376.673012341
"66",2020-02-04,144170.493170736
"67",2020-02-05,143567.365654944
"68",2020-02-06,143565.39591097
"69",2020-02-07,144355.177205943
"70",2020-02-08,147679.008627202
"71",2020-02-09,148885.236555088
"72",2020-02-10,152858.387900247
"73",2020-02-11,148801.97475971
"74",2020-02-12,148739.196363362
"75",2020-02-13,144222.59639221
"76",2020-02-14,145617.681688356
"77",2020-02-15,150500.653263723
"78",2020-02-16,146058.141599211
"79",2020-02-17,146799.353599144
"80",2020-02-18,145317.28841262
"81",2020-02-19,143149.027342644
"82",2020-02-20,142467.055084852
"83",2020-02-21,141578.993677073
"84",2020-02-22,148685.460389693
"85",2020-02-23,143188.760885147
"86",2020-02-24,146568.422409045
"87",2020-02-25,143264.199044121
"88",2020-02-26,139442.215731079
"89",2020-02-27,140731.486016697
"90",2020-02-28,139625.09886559
