"","dates","n"
"1",2019-12-01,28
"2",2019-12-02,19
"3",2019-12-03,23
"4",2019-12-04,25
"5",2019-12-05,20
"6",2019-12-06,29
"7",2019-12-07,21
"8",2019-12-08,28
"9",2019-12-09,20
"10",2019-12-10,20
"11",2019-12-11,25
"12",2019-12-12,20
"13",2019-12-13,31
"14",2019-12-14,20
"15",2019-12-15,26
"16",2019-12-16,20
"17",2019-12-17,24
"18",2019-12-18,24
"19",2019-12-19,19
"20",2019-12-20,29
"21",2019-12-21,21
"22",2019-12-22,28
"23",2019-12-23,19
"24",2019-12-24,22
"25",2019-12-25,23
"26",2019-12-26,18
"27",2019-12-27,31
"28",2019-12-28,18
"29",2019-12-29,27
"30",2019-12-30,21
"31",2019-12-31,23
"32",2020-01-01,26
"33",2020-01-02,20
"34",2020-01-03,31
"35",2020-01-04,21
"36",2020-01-05,29
"37",2020-01-06,21
"38",2020-01-07,24
"39",2020-01-08,24
"40",2020-01-09,22
"41",2020-01-10,32
"42",2020-01-11,22
"43",2020-01-12,29
"44",2020-01-13,22
"45",2020-01-14,26
"46",2020-01-15,25
"47",2020-01-16,25
"48",2020-01-17,32
"49",2020-01-18,23
"50",2020-01-19,30
"51",2020-01-20,22
"52",2020-01-21,27
"53",2020-01-22,26
"54",2020-01-23,8
"55",2020-01-24,3
"56",2020-01-25,1
"57",2020-01-26,4
"58",2020-01-27,0
"59",2020-01-28,1
"60",2020-01-29,1
"61",2020-01-30,2
"62",2020-01-31,1
"63",2020-02-01,1
"64",2020-02-02,1
"65",2020-02-03,0
"66",2020-02-04,0
"67",2020-02-05,1
"68",2020-02-06,0
"69",2020-02-07,0
"70",2020-02-08,0
"71",2020-02-09,0
"72",2020-02-10,0
"73",2020-02-11,0
"74",2020-02-12,0
"75",2020-02-13,0
"76",2020-02-14,0
"77",2020-02-15,0
"78",2020-02-16,0
"79",2020-02-17,0
"80",2020-02-18,0
"81",2020-02-19,0
"82",2020-02-20,0
"83",2020-02-21,0
"84",2020-02-22,0
"85",2020-02-23,0
"86",2020-02-24,0
"87",2020-02-25,0
"88",2020-02-26,0
"89",2020-02-27,0
"90",2020-02-28,0
"91",2020-02-29,0
