"destination_country","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7","Scenario 8","Scenario 9","Scenario 10","Scenario 11"
"Algeria",1.38929476611946,0.213861562569085,1.02553196292351,1.70985872328264,1.37225779503316,1.64156739193232,1.36406746750202,1.38580941380566,1.42839811543108,1.43335808811848,1.46425511156272
"Angola",0.0986672354184976,0.0653266777244472,0.0815342514990615,0.110949856523447,0.090688662954053,0.218878541009271,0.0866461046430664,0.0980468067328977,0.115704880077298,0.119664130323683,0.134387125172022
"Congo (Kinshasa)",0.0337471040308022,0.0651371322433769,0.0246549371053432,0.0412622254757282,0.013842541985698,0.33747105712654,0.0033747105712654,0.0361054937401568,0.0671709971533743,0.0867975508951656,0.123996472643702
"Cote D'Ivoire",0.0517338001138947,0.072492580122704,0.0421329155332385,0.0585449685715263,0.0368675087719399,0.274538570554486,0.0294533265345756,0.0522594966195635,0.0835048372643505,0.0906503627082933,0.117938614858946
"Egypt",1.03041965223814,1.23013993256517,0.820789044474061,1.18798098361668,0.75291027468083,5.13625702071166,0.619835953646562,1.73201340742826,1.51902754762941,1.74757245870789,2.2504392439528
"Equatorial Guinea",0.0243880364368411,0.0191700462775282,0.0178499143283943,0.0300587395450581,0.0204090528614245,0.0830851536264222,0.0185183243792761,0.0238678126322215,0.0377747231653475,0.034640461294878,0.0418294499090042
"Ethiopia",0.290587826413629,0.395409920922107,0.216748556672494,0.351675279593221,0.186798342761551,1.8591029027944,0.133736342621063,0.294415571653744,0.510836931772757,0.564555096971204,0.756660658340043
"Gabon",0.0399715834122268,0.0433916769032656,0.0333306407344334,0.0444660424510217,0.0321529693054559,0.15691640127065,0.0282771048417373,0.0386698671650054,0.0580831945956106,0.0603979425104172,0.0747208816996032
"Ghana",0.136647183239411,0.149901024591473,0.110116683407333,0.156330865949132,0.105870807418669,0.598678028272431,0.090444099515698,0.137637807035529,0.197909060330699,0.217348552823124,0.273936267944464
"Guinea",0.0247765638292132,0.0664383732249135,0.0185956017701651,0.0295991903067285,0.00990464675085299,0.247765648729327,0.00247765648729328,0.0208117992453507,0.0573976905471549,0.0637253211838955,0.0910361520964309
"Kenya",1.1757538631113,0.570725111203727,0.937883965465983,1.36230264634206,1.09674038850042,2.35667522036316,1.05766176542105,1.33103696297405,1.27355779063594,1.38202130989816,1.52665571640056
"Madagascar",0.0337252149550471,0.0518723275113525,0.0273616747028591,0.038218694914988,0.02140429516649,0.21585243979242,0.0155124946310968,0.0335841683595339,0.0531978401423319,0.06553676739561,0.0878429951849833
"Mauritania",0.0238277841017688,0.0176925406128226,0.017367408374521,0.0294979443922352,0.0202178117326234,0.0774826289772199,0.0184622991327841,0.0241867935282929,0.0306517206200202,0.0331994920380738,0.0397709228746696
"Mauritius",0.111559679412169,0.191670964971271,0.084861714893502,0.132881989170403,0.0694258388986533,0.733306540502474,0.0493850008443597,0.123956746517867,0.245683903403859,0.220158118400333,0.296307230885172
"Morocco",0.933230527494134,0.618456451241121,0.757840339706767,1.06491549310642,0.848564375737283,2.18578808647886,0.807974816144853,1.02509296486931,1.12984400191292,1.15201048134709,1.30541867032392
"Mozambique",0.0975901006030331,0.0570553974833471,0.072325966791704,0.119596675966817,0.0900888205918856,0.211320445995839,0.0862170710296429,0.100274907743381,0.112872851499144,0.117454986433547,0.13138421248253
"Nigeria",0.175205515741233,0.253104689444079,0.13609437916562,0.20577605976448,0.115422085968529,1.06626561864748,0.086099515725934,0.182289795207049,0.287336660857085,0.330843994949886,0.439977534255405
"Senegal",0.0383107337879982,0.0567774186080679,0.0284402285455373,0.0465668221999733,0.0259193294529767,0.222312134799184,0.0199105941910037,0.0355526640626167,0.0668448963144037,0.0704496387906292,0.0929854059463846
"Seychelles",0.136656777837037,0.0770594129299113,0.112304213174372,0.154503768128782,0.128560766404243,0.255879183450829,0.12473454657788,0.141033253959654,0.157409059921854,0.157480946131242,0.172082815244719
"South Africa",2.9821087599952,1.24200796093501,2.33180235853044,3.51321088046741,2.82498520222685,5.34891959302561,2.74542776609464,3.26462149449499,3.22642494368194,3.39551130092127,3.68538842381209
"Sudan",0.0476534679133901,0.101691580697798,0.0368089045645814,0.0557251103809795,0.0185809301125571,0.476534690921406,0.00476534690921406,0.0859406159902572,0.0897768698863691,0.122564715447741,0.175092410204691
"Tanzania",0.129760932397555,0.17361947369608,0.105844221309443,0.146694436492498,0.0922655799718046,0.69061073979926,0.0736759537879544,0.14959248315662,0.203333594105585,0.227722683853733,0.29641336364982
"Tunisia",0.0704352047340284,0.0625302222303492,0.0536898648652049,0.0842618481084534,0.0575314733239604,0.261361915859715,0.0513425401921086,0.0917456800162259,0.0965725642391292,0.103783729828655,0.127167674232018
"Uganda",0.0946180806130767,0.132391850747087,0.0758938172352605,0.108267434010514,0.0621719892875935,0.581981669738338,0.0458817254365037,0.0958210514379473,0.150471060906662,0.179744244599951,0.239434623986578
"Zambia",1.13541841337361,0.216524966610161,0.832469918360812,1.40317530558485,1.09631700862293,1.73944044768876,1.07501625704618,1.15583659402757,1.2137352603883,1.2409207436142,1.31489872174325
"Zimbabwe",0.0802383190771273,0.0743461296974719,0.0676694727616406,0.0884403206696542,0.068480693971295,0.256084459089909,0.0626537114909203,0.0878373688378018,0.105765813454468,0.110952773573263,0.132489710501854
